City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Laguna De Perlas,NI,12.3429,-83.6712,76.15,93,88,10.33,overcast clouds
79,Oussouye,SN,12.485,-16.5469,77.9,79,40,6.64,scattered clouds
80,Rocha,UY,-34.4833,-54.3333,58.37,70,100,13.38,overcast clouds
81,Trairi,BR,-3.2778,-39.2689,78.94,80,99,6.26,overcast clouds
82,San Quintin,MX,30.4833,-115.95,63.25,90,2,4.5,clear sky
83,Cabedelo,BR,-6.9811,-34.8339,77.67,74,68,9.04,broken clouds
84,Muisne,EC,0.6,-80.0333,75.13,87,98,9.86,overcast clouds
85,Presidente Medici,BR,-11.1753,-61.9014,73.51,95,100,2.55,overcast clouds
86,Sioux Lookout,CA,50.1001,-91.917,44.67,81,75,5.75,broken clouds
87,Ahuimanu,US,21.4447,-157.8378,80.31,74,75,9.22,broken clouds
88,Green Valley,US,31.8543,-110.9937,73.0,28,2,4.14,clear sky
89,Santa Maria,BR,-29.6842,-53.8069,62.82,92,100,8.25,overcast clouds
90,Owosso,US,42.9978,-84.1766,39.34,84,1,3.44,clear sky
91,Bermeo,ES,43.4209,-2.7215,52.23,73,94,11.1,overcast clouds
92,Necochea,AR,-38.5473,-58.7368,43.03,70,100,1.43,overcast clouds
93,Kodiak,US,57.79,-152.4072,34.72,82,99,7.63,overcast clouds
94,Castro,BR,-24.7911,-50.0119,61.61,97,94,3.13,overcast clouds
95,Puerto Colombia,CO,10.9878,-74.9547,82.49,82,74,8.81,broken clouds
96,Bathsheba,BB,13.2167,-59.5167,79.41,83,40,18.41,scattered clouds
97,Ponta Do Sol,PT,32.6667,-17.1,68.63,66,9,8.63,clear sky
98,Avarua,CK,-21.2078,-159.775,75.25,73,60,5.75,broken clouds
99,Sao Gabriel Da Cachoeira,BR,-0.1303,-67.0892,72.95,98,44,1.48,scattered clouds
100,Canmore,CA,51.0834,-115.3521,38.75,91,64,8.05,light snow
101,College,US,64.8569,-147.8028,24.75,85,90,0.0,overcast clouds
102,Provideniya,RU,64.3833,-173.3,7.77,82,4,8.84,clear sky
103,Maragogi,BR,-9.0122,-35.2225,76.14,92,99,7.58,overcast clouds
104,Prince Rupert,CA,54.3161,-130.3201,42.49,84,80,23.02,moderate rain
105,Peniche,PT,39.3558,-9.3811,54.63,88,0,9.44,clear sky
106,Kahului,US,20.8947,-156.47,78.82,76,1,21.85,clear sky
107,Santa Lucia,ES,27.9117,-15.5407,61.11,58,75,25.32,broken clouds
108,Bar Harbor,US,44.3876,-68.2039,38.23,64,75,8.99,broken clouds
109,Tautira,PF,-17.7333,-149.15,80.62,73,99,7.65,overcast clouds
110,Rio Gallegos,AR,-51.6226,-69.2181,53.65,40,20,10.36,few clouds
111,Natal,BR,-5.795,-35.2094,80.82,83,20,4.61,few clouds
112,Los Llanos De Aridane,ES,28.6585,-17.9182,64.15,79,75,1.01,broken clouds
113,Olafsvik,IS,64.8945,-23.7142,37.6,83,100,24.49,overcast clouds
114,Port Hawkesbury,CA,45.6169,-61.3485,42.39,74,90,5.01,overcast clouds
115,La Ronge,CA,55.1001,-105.2842,35.85,87,90,2.3,overcast clouds
116,Cartagena,CO,10.3997,-75.5144,82.02,83,20,4.61,few clouds
117,Camacha,PT,33.0833,-16.3333,65.16,68,75,12.66,broken clouds
118,Muros,ES,42.7762,-9.0603,51.84,77,15,9.1,few clouds
119,Sinnamary,GF,5.3833,-52.95,77.49,90,86,7.47,overcast clouds
120,Nouakchott,MR,18.0858,-15.9785,71.53,42,9,10.45,clear sky
121,Bethel,US,41.3712,-73.414,41.05,80,1,0.0,clear sky
122,Buchanan,LR,5.8808,-10.0467,75.16,88,91,4.14,light rain
123,Champerico,GT,14.3,-91.9167,80.35,81,99,3.53,overcast clouds
124,Belmonte,BR,-15.8631,-38.8828,75.7,91,75,6.08,broken clouds
125,Codrington,AU,-38.2667,141.9667,61.27,95,99,9.75,overcast clouds
126,Guiglo,CI,6.5456,-7.4966,71.26,99,91,1.83,overcast clouds
127,Qaanaaq,GL,77.484,-69.3632,11.26,70,99,10.47,overcast clouds
128,Pangnirtung,CA,66.1451,-65.7125,16.27,64,97,8.48,overcast clouds
129,Tamandare,BR,-8.7597,-35.1047,76.96,88,94,7.81,overcast clouds
130,Puerto Madryn,AR,-42.7692,-65.0385,54.05,71,0,14.72,clear sky
131,Ribeira Grande,PT,38.5167,-28.7,69.35,91,100,24.49,overcast clouds
132,Sao Filipe,CV,14.8961,-24.4956,78.31,73,51,7.45,broken clouds
133,Puerto Escondido,MX,15.85,-97.0667,77.7,78,46,5.26,scattered clouds
134,Hofn,IS,64.2539,-15.2082,39.34,82,100,17.11,overcast clouds
135,Cananea,MX,30.95,-110.3,59.77,31,93,3.27,overcast clouds
136,Winchester,GB,51.0651,-1.3187,49.28,91,75,3.0,haze
137,La Libertad,EC,-2.2333,-80.9,69.64,85,59,11.1,broken clouds
138,Alta Floresta,BR,-9.8756,-56.0861,71.15,99,100,3.11,overcast clouds
139,Egvekinot,RU,66.3167,-179.1667,-9.26,83,0,5.88,clear sky
140,Coxim,BR,-18.5067,-54.76,72.36,91,100,1.28,overcast clouds
141,Cangucu,BR,-31.395,-52.6756,58.44,98,100,11.07,overcast clouds
142,Marsh Harbour,BS,26.5412,-77.0636,79.07,78,100,13.98,moderate rain
143,Coos Bay,US,43.3665,-124.2179,53.15,95,90,16.11,overcast clouds
144,Springhill,US,33.006,-93.4668,44.94,72,0,4.05,clear sky
145,Maniitsoq,GL,65.4167,-52.9,23.61,56,98,11.14,overcast clouds
146,Lagos,NG,6.5833,3.75,75.52,94,99,1.43,overcast clouds
147,Nova Vicosa,BR,-17.8919,-39.3719,75.02,81,98,8.7,overcast clouds
148,Estelle,US,29.8458,-90.1067,59.0,77,90,3.0,overcast clouds
149,Galveston,US,29.3669,-94.9669,58.98,76,0,8.03,clear sky
150,Beaverlodge,CA,55.2166,-119.4361,33.15,98,100,4.36,overcast clouds
