City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
249,Alto Araguaia,BR,69.71,overcast clouds,-17.3147,-53.2153,
251,Mana,GF,76.78,overcast clouds,5.6592,-53.7767,
253,Puerto Carreno,CO,77.25,overcast clouds,6.189,-67.4859,
256,Kolokani,ML,79.65,overcast clouds,13.5728,-8.0339,
259,Porto Velho,BR,75.25,light rain,-8.7619,-63.9039,
261,Sao Jose Da Coroa Grande,BR,76.89,overcast clouds,-8.8978,-35.1478,
262,Tecoanapa,MX,78.55,overcast clouds,16.5167,-98.75,
263,Dingle,PH,86.85,overcast clouds,10.9995,122.6711,
264,Nicoya,CR,74.75,moderate rain,10.1483,-85.452,
267,Sassandra,CI,76.23,moderate rain,4.95,-6.0833,
271,Petrolina,BR,77.05,clear sky,-9.3986,-40.5008,
272,Fare,PF,79.48,light rain,-16.7,-151.0167,
273,Maceio,BR,80.04,scattered clouds,-9.6658,-35.7353,
274,Praia,CV,75.74,few clouds,14.9215,-23.5087,
275,Atar,MR,71.49,scattered clouds,20.5169,-13.0499,
278,Bousse,BF,76.57,clear sky,12.6606,-1.8922,
282,Cacoal,BR,73.42,overcast clouds,-11.4386,-61.4472,
284,Ciudad Arce,SV,70.81,scattered clouds,13.8403,-89.4472,
289,Ontario,US,73.69,haze,34.0633,-117.6509,
293,Makakilo City,US,79.12,few clouds,21.3469,-158.0858,
295,Conceicao Do Araguaia,BR,73.02,broken clouds,-8.2578,-49.2647,
298,Imbituba,BR,73.29,overcast clouds,-28.24,-48.6703,
299,Paracuru,BR,81.1,overcast clouds,-3.41,-39.0306,
302,Venice,US,69.01,mist,27.0998,-82.4543,
303,Dibulla,CO,76.12,overcast clouds,11.2725,-73.3091,
306,Manacapuru,BR,79.38,scattered clouds,-3.2997,-60.6206,
308,San Pedro,PH,92.43,few clouds,14.35,121.0167,
309,Santa Marta,CO,78.85,few clouds,11.2408,-74.199,
311,Florianopolis,BR,70.83,broken clouds,-27.6146,-48.5012,
312,Ballina,AU,77.18,broken clouds,-28.8667,153.5667,
314,Guapo,BR,70.18,broken clouds,-16.8306,-49.5319,
319,Ewa Beach,US,80.55,few clouds,21.3156,-158.0072,
322,Boa Vista,BR,84.18,clear sky,2.8197,-60.6733,
324,Balsas,BR,75.09,broken clouds,-7.5325,-46.0356,
327,Sao Joao Dos Patos,BR,72.28,overcast clouds,-6.495,-43.7022,
331,Cabo Rojo,PR,80.78,few clouds,18.0866,-67.1457,
333,Quevedo,EC,75.33,overcast clouds,-1.0333,-79.45,
334,Kumasi,GH,71.11,overcast clouds,6.6885,-1.6244,
335,Fonte Boa,BR,72.79,scattered clouds,-2.4959,-66.2662,
338,Iracoubo,GF,77.31,overcast clouds,5.4802,-53.2011,
339,Charlestown,AU,79.93,scattered clouds,-32.95,151.6667,
342,Soure,BR,80.24,broken clouds,-0.7167,-48.5233,
344,Puerto Maldonado,PE,73.63,broken clouds,-12.6,-69.1833,
346,The Valley,AI,81.1,few clouds,18.217,-63.0578,
347,Prainha,BR,77.27,broken clouds,-1.8,-53.48,
349,Vega De Alatorre,MX,71.22,broken clouds,20.0333,-96.6333,
352,Iztapa,GT,79.63,overcast clouds,13.9333,-90.7075,
353,Belmopan,BZ,72.3,broken clouds,17.25,-88.7667,
354,Punto Fijo,VE,80.42,scattered clouds,11.6956,-70.1996,
356,Ponta Delgada,PT,70.5,broken clouds,37.7333,-25.6667,
362,Merritt Island,US,71.6,moderate rain,28.5392,-80.672,
363,Dunmore Town,BS,80.78,overcast clouds,25.5,-76.65,
364,Mazatlan,MX,80.02,clear sky,23.2167,-106.4167,
365,Canovanas,PR,80.82,few clouds,18.3777,-65.9063,
371,Roura,GF,79.97,broken clouds,4.7263,-52.3274,
372,San-Pedro,CI,76.78,moderate rain,4.7485,-6.6363,
374,Cockburn Town,TC,83.32,overcast clouds,21.4612,-71.1419,
380,Miramar,US,76.01,clear sky,25.9873,-80.2323,
383,Guarapari,BR,73.29,few clouds,-20.6667,-40.4975,
386,Saint-Pierre,RE,81.57,clear sky,-21.3393,55.4781,
387,Dovers,VC,81.7,few clouds,12.8833,-61.1833,
392,Miami,US,76.01,broken clouds,25.7743,-80.1937,
398,Mumford,GH,78.12,overcast clouds,5.2618,-0.759,
400,Tecolutla,MX,71.85,overcast clouds,20.4833,-97.0167,
401,Goundam,ML,80.8,clear sky,16.4145,-3.6708,
402,Jacobina,BR,71.53,overcast clouds,-11.1806,-40.5183,
403,San Felipe,VE,71.64,overcast clouds,10.3399,-68.7425,
406,Cabrera,DO,75.33,overcast clouds,19.6426,-69.9049,
