City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
93,Urubicha,BO,-15.3833,-62.95,71.22,95,100,6.15
94,Santa Maria,BR,-29.6842,-53.8069,70.9,60,0,8.05
95,Cockburn Town,TC,21.4612,-71.1419,82.62,71,0,7.4
96,Olafsvik,IS,64.8945,-23.7142,41.54,93,100,33.67
97,Bontang,ID,0.1333,117.5,83.44,70,100,4.18
98,Ukiah,US,39.1502,-123.2078,71.49,60,1,0.0
99,Kodiak,US,57.79,-152.4072,40.51,48,20,9.22
100,Comodoro Rivadavia,AR,-45.8667,-67.5,60.66,36,0,8.05
101,Guerrero Negro,MX,27.9769,-114.0611,71.35,59,0,10.92
102,Makinsk,KZ,52.6292,70.4169,22.53,53,98,17.13
103,Sorong,ID,-0.8833,131.25,84.4,74,91,12.19
104,Flinders,AU,-34.5833,150.8552,88.21,42,1,11.99
105,Huitziltepec,MX,17.8167,-99.4667,65.86,86,54,4.36
106,Kutum,SD,14.2,24.6667,69.71,16,13,9.04
107,Ubatuba,BR,-23.4339,-45.0711,71.13,95,100,3.02
108,Naze,JP,28.3667,129.4833,76.12,57,97,10.78
109,Holbeach,GB,52.804,0.0144,59.11,84,100,15.01
110,Nyurba,RU,63.2842,118.3319,19.18,70,100,12.75
111,Taksimo,RU,56.3444,114.8794,23.18,64,35,1.92
112,Port Hedland,AU,-20.3167,118.5667,86.05,48,1,9.22
113,Mozarlandia,BR,-14.7447,-50.5706,83.93,48,100,1.52
114,Tongliao,CN,43.6125,122.2653,51.73,39,100,10.49
115,Nishihara,JP,26.1842,127.7558,76.68,55,20,9.22
116,Nemuro,JP,43.3236,145.575,48.63,82,100,26.8
117,Longyearbyen,SJ,78.2186,15.6401,16.93,91,98,5.26
118,Willowmore,ZA,-33.2926,23.4895,59.45,89,70,5.53
119,Aberdeen,GB,57.1437,-2.0981,52.29,96,90,5.75
120,Monrovia,LR,6.3005,-10.7969,74.97,86,100,3.38
121,Castlegar,CA,49.2998,-117.6689,47.3,100,100,1.01
122,Chokurdakh,RU,70.6333,147.9167,-4.13,93,100,3.51
123,Pevek,RU,69.7008,170.3133,1.49,94,99,4.5
124,Aksu,CN,41.1231,80.2644,46.38,43,100,2.66
125,Pangnirtung,CA,66.1451,-65.7125,29.16,98,100,3.56
126,Ontario,US,34.0633,-117.6509,85.6,31,1,1.01
127,Valdivia,CL,-39.8142,-73.2459,53.69,96,24,0.58
128,Victoria,HK,22.2855,114.1577,79.97,78,53,1.99
129,Santa,PH,17.486,120.4348,80.82,67,15,5.28
130,Hilo,US,19.7297,-155.09,82.13,67,20,8.05
131,Viedma,AR,-40.8135,-62.9967,69.51,44,100,1.03
132,Brandenburg,DE,52.4167,12.55,46.99,77,15,7.09
133,Faranah,GN,10.0404,-10.7434,71.44,93,100,3.8
134,La Plaine,DM,15.3333,-61.25,78.93,76,100,7.74
135,Hokitika,NZ,-42.7167,170.9667,54.54,94,100,1.9
136,Faya,SA,18.3851,42.4509,55.51,52,2,3.36
137,Mount Pleasant,US,32.7941,-79.8626,75.18,95,90,5.01
138,Bangaon,IN,23.0667,88.8167,76.95,83,45,7.29
139,Salvador,SV,13.8333,-88.9167,70.2,97,73,2.06
140,Rio Grande,BR,-32.035,-52.0986,67.95,87,0,14.41
141,Dikson,RU,73.5069,80.5464,9.03,88,100,5.1
142,Cape Town,ZA,-33.9258,18.4232,61.88,69,40,5.99
143,Coracora,PE,-15.0333,-73.7833,53.28,62,66,1.95
144,Ishigaki,JP,24.3448,124.1572,77.13,61,20,10.36
145,Lahij,YE,13.1667,44.5833,76.55,37,39,1.66
146,Kuching,MY,1.55,110.3333,82.62,78,20,2.3
147,Bambous Virieux,MU,-20.3428,57.7575,74.21,94,20,6.91
148,Jardim,BR,-21.4803,-56.1381,75.02,65,2,5.35
149,Flin Flon,CA,54.7682,-101.865,39.22,79,8,5.99
150,Ostersund,SE,63.1792,14.6357,50.61,93,90,9.22
151,Fare,PF,-16.7,-151.0167,76.68,90,91,12.57
152,Madingou,CG,-4.1536,13.55,74.1,90,67,3.27
153,Fortuna,US,40.5982,-124.1573,66.42,69,1,5.75
154,Ambilobe,MG,-13.2,49.05,72.14,92,25,1.52
155,Tommot,RU,58.9564,126.2925,24.57,69,3,10.11
156,Upernavik,GL,72.7868,-56.1549,21.06,57,100,4.9
157,Saint-Francois,FR,46.4154,3.9054,50.68,83,0,2.3
158,Karratha,AU,-20.7377,116.8463,81.72,26,5,7.99
159,Skjervoy,NO,70.0311,20.9714,43.59,86,100,9.01
160,Ayagoz,KZ,47.9714,80.4392,41.92,92,88,6.96
161,Honiara,SB,-9.4333,159.95,86.7,70,51,6.42
162,Caraballeda,VE,10.6112,-66.8522,80.67,100,78,1.14
163,Moose Factory,CA,51.2585,-80.6094,42.8,70,1,6.91
164,Port Alfred,ZA,-33.5906,26.891,67.64,90,100,9.08
165,Kapaa,US,22.0752,-159.319,82.38,87,75,3.0
166,San Patricio,US,28.017,-97.5169,76.84,29,0,8.66
167,Pimentel,PE,-6.8367,-79.9342,64.15,85,74,14.2
168,Mombetsu,JP,44.3525,143.3525,48.85,87,75,18.41
169,Eydhafushi,MV,5.1033,73.0708,81.72,77,77,8.63
170,Bairiki,KI,1.3292,172.9752,87.8,62,20,10.36
171,San Andres,CO,12.5847,-81.7006,80.62,94,75,2.3
172,Aksarka,RU,66.5606,67.7975,19.85,94,100,19.55
173,Koumac,NC,-20.5667,164.2833,80.01,68,8,6.73
174,Mossendjo,CG,-2.9506,12.7261,68.97,100,36,2.46
175,Rio Gallegos,AR,-51.6226,-69.2181,59.05,55,40,5.75
176,Hualmay,PE,-11.0964,-77.6139,64.06,83,97,9.19
177,Okhotsk,RU,59.3833,143.3,25.36,81,93,6.42
178,Nome,US,64.5011,-165.4064,24.87,74,90,12.66
179,Arraial Do Cabo,BR,-22.9661,-42.0278,71.42,90,100,17.05
180,Szedres,HU,46.4755,18.6831,43.83,56,32,3.53
181,Kieta,PG,-6.2167,155.6333,86.25,61,40,5.26
182,Birao,CF,10.2849,22.7882,74.01,43,16,1.59
183,Kamenka,RU,51.3223,42.7678,44.11,97,100,7.54
184,Fairbanks,US,64.8378,-147.7164,26.56,89,20,0.0
185,Saskylakh,RU,71.9167,114.0833,-5.8,98,100,7.81
186,Lakes Entrance,AU,-37.8811,147.981,70.16,48,4,26.98
187,Cherskiy,RU,68.75,161.3,-9.83,90,32,2.98
188,Grindavik,IS,63.8424,-22.4338,43.27,81,0,20.71
189,Port Elizabeth,ZA,-33.918,25.5701,63.1,94,0,2.3
190,Cabra,ES,37.4725,-4.4421,63.39,57,100,4.14
191,Richards Bay,ZA,-28.783,32.0377,66.81,71,100,14.88
192,Ahipara,NZ,-35.1667,173.1667,64.38,71,4,11.34
193,Culaba,PH,11.6578,124.5425,82.18,76,5,6.11
194,Te Anau,NZ,-45.4167,167.7167,64.8,56,4,1.34
195,Mahebourg,MU,-20.4081,57.7,74.25,94,20,6.91
196,Salalah,OM,17.0151,54.0924,75.29,83,20,4.61
197,Sibolga,ID,1.7427,98.7792,81.72,67,53,0.45
198,Redcar,GB,54.6166,-1.06,56.32,86,100,5.99
199,Sikonge,TZ,-5.6333,32.7667,69.51,50,86,6.55
200,Bonavista,CA,48.6499,-53.1147,40.12,74,100,15.99
201,Maniitsoq,GL,65.4167,-52.9,28.53,84,100,11.68
202,Severo-Kurilsk,RU,50.6789,156.125,43.21,95,100,8.3
203,Kampot,KH,10.6167,104.1833,84.25,82,66,4.83
204,Omsukchan,RU,62.5333,155.8,15.85,89,13,5.35
205,Muravlenko,RU,63.7898,74.523,29.12,97,100,14.52
206,Enid,US,36.3956,-97.8784,61.14,34,1,11.01
207,Tiksi,RU,71.6872,128.8694,11.34,95,100,5.14
208,Puerto Ayacucho,VE,5.6639,-67.6236,75.78,89,100,4.5
209,Ambon,ID,-3.6954,128.1814,86.14,62,40,3.44
210,Bogotol,RU,56.2078,89.5342,28.63,52,100,8.34
211,Bilma,NE,18.6853,12.9164,77.81,19,5,1.54
212,Novyy Urgal,RU,51.0736,132.5642,36.54,73,13,0.4
213,Grand Gaube,MU,-20.0064,57.6608,74.37,74,6,5.99
